sample,from,to,sync_ms,clean_blk_s
105,1059900,1059999,100,1000.0
106,1069900,1069999,107,934.5
107,1079900,1079999,117,854.7
108,1089900,1089999,89,1123.5
109,1099900,1099999,78,1282.0
110,1109900,1109999,95,1052.6
111,1119900,1119999,102,980.3
112,1129900,1129999,85,1176.4
113,1139900,1139999,87,1149.4
114,1149900,1149999,100,1000.0
115,1159900,1159999,93,1075.2
116,1169900,1169999,89,1123.5
117,1179900,1179999,95,1052.6
118,1189900,1189999,81,1234.5
119,1199900,1199999,67,1492.5
120,1209900,1209999,111,900.9
121,1219900,1219999,101,990.0
122,1229900,1229999,104,961.5
123,1239900,1239999,100,1000.0
124,1249900,1249999,100,1000.0
125,1259900,1259999,61,1639.3
126,1269900,1269999,83,1204.8
127,1279900,1279999,84,1190.4
128,1289900,1289999,91,1098.9
129,1299900,1299999,72,1388.8
130,1309900,1309999,81,1234.5
131,1319900,1319999,71,1408.4
132,1329900,1329999,90,1111.1
133,1339900,1339999,69,1449.2
134,1349900,1349999,83,1204.8
135,1359900,1359999,124,806.4
136,1369900,1369999,73,1369.8
137,1379900,1379999,82,1219.5
138,1389900,1389999,106,943.3
139,1399900,1399999,91,1098.9
140,1409900,1409999,85,1176.4
141,1419900,1419999,66,1515.1
142,1429900,1429999,69,1449.2
143,1439900,1439999,93,1075.2
144,1449900,1449999,77,1298.7
145,1459900,1459999,74,1351.3
146,1469900,1469999,83,1204.8
147,1479900,1479999,84,1190.4
148,1489900,1489999,85,1176.4
149,1499900,1499999,88,1136.3
150,1509900,1509999,73,1369.8
151,1519900,1519999,85,1176.4
152,1529900,1529999,75,1333.3
153,1539900,1539999,89,1123.5
154,1549900,1549999,110,909.0
155,1559900,1559999,104,961.5
156,1569900,1569999,109,917.4
157,1579900,1579999,82,1219.5
158,1589900,1589999,102,980.3
159,1599900,1599999,107,934.5
160,1609900,1609999,93,1075.2
161,1619900,1619999,103,970.8
162,1629900,1629999,84,1190.4
163,1639900,1639999,108,925.9
164,1649900,1649999,94,1063.8
165,1659900,1659999,91,1098.9
166,1669900,1669999,93,1075.2
167,1679900,1679999,83,1204.8
168,1689900,1689999,87,1149.4
169,1699900,1699999,78,1282.0
170,1709900,1709999,96,1041.6
171,1719900,1719999,98,1020.4
172,1729900,1729999,102,980.3
173,1739900,1739999,102,980.3
174,1749900,1749999,74,1351.3
175,1759900,1759999,78,1282.0
176,1769900,1769999,77,1298.7
177,1779900,1779999,120,833.3
